"Key","DisplayName","IncludeGroups","ExcludeGroups","ExcludeUsers","IncludeApplications","ClientAppTypes","IncludePlatforms","IncludeLocations","ExcludeLocations","SignInRiskLevels","UserRiskLevels","GrantControls","GrantOperator","SessionControls","State","Purpose"
"ca-mfa-all","Require MFA for Seeded Staff","all-staff","role-support","awhitfield","All","browser;mobileAppsAndDesktopClients","","","","","","mfa","OR","","enabledForReportingButNotEnforced","The ordinary baseline every tenant has"
"ca-compliant-device","Require Compliant Device","dept-engineering","","","app-assigned","browser;mobileAppsAndDesktopClients","windows;macOS","","","","","compliantDevice","OR","","enabledForReportingButNotEnforced","Unsatisfiable for anyone on a non-compliant device"
"ca-block-legacy","Block Legacy Authentication","all-staff","","","All","exchangeActiveSync;other","","","","","","block","OR","","enabledForReportingButNotEnforced","Legacy clients cannot satisfy any grant"
"ca-geo-block","Block Outside Permitted Countries","all-staff","","","All","browser;mobileAppsAndDesktopClients","","","loc-permitted-countries","","","block","OR","","enabledForReportingButNotEnforced","Excludes the permitted countries and blocks the rest"
"ca-risk-mfa","Require MFA on Elevated Sign-in Risk","all-staff","","","All","browser;mobileAppsAndDesktopClients","","","","medium;high","","mfa","OR","","enabledForReportingButNotEnforced","Conditions on sign-in risk"
"ca-session-limit","Limit Unmanaged Browser Session","dept-sales","","","All","browser","","","","","","","OR","signInFrequency:4:hours;persistentBrowser:never","enabledForReportingButNotEnforced","Session controls only and no grant control"
"ca-strength-phish","Require Phishing Resistant MFA","role-support","","","app-direct-only","browser;mobileAppsAndDesktopClients","","","","","","authenticationStrength","OR","","enabledForReportingButNotEnforced","Uses an authentication strength rather than a plain MFA grant"
"ca-and-operator","Require MFA And Compliant Device","dept-finance","","","All","browser;mobileAppsAndDesktopClients","","","","","","mfa;compliantDevice","AND","","enabledForReportingButNotEnforced","An AND of two controls"
"ca-trusted-location","Require Trusted Location For Finance","dept-finance","","","app-assigned","browser;mobileAppsAndDesktopClients","","loc-corporate;loc-single-host","","","","mfa","OR","","enabledForReportingButNotEnforced","The only policy that INCLUDES locations rather than excluding them, and the only consumer of the trusted named locations"
"ca-user-risk","Require Password Change On User Risk","all-staff","","awhitfield","All","all","","","","","high","mfa;passwordChange","AND","","enabledForReportingButNotEnforced","User risk rather than sign-in risk. Graph refuses passwordChange unless it is combined with a strong-auth control using AND (error 1066) and applies to all client app types (error 1092), so this row is also the record of both rules"
"ca-disabled-legacy","Retired Pilot Policy","dept-sales","","","app-groups-only","browser","","","","","","mfa","OR","","disabled","Disabled rather than report-only; real tenants keep retired policies and an inventory script must not count one as active"
