"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName","Office","EmployeeID","Description","StreetAddress","City","State","PostalCode","MobilePhone","EmployeeType","ServiceType","ServicePurpose","Application","Environment","ManagedBy"
"IT","CN=SQL Database Engine Service","True","SQL","sqlengine","CN=Christine Koch","SQL Database Engine Service","user","","","svc-sqlengine","","Service","Service","SQL Database Engine Service Account","svc-sqlengine","Seattle - Engineering","SVC001","Service account for SQL Server Database Engine operations","456 Innovation Drive","Seattle","WA","98102","","Service","SQL","Database Engine","SQL Server","Production","CN=Christine Koch"
"IT","CN=SQL Server Agent Service","True","SQL","sqlagent","CN=Christine Koch","SQL Server Agent Service","user","","","svc-sqlagent","","Service","Service","SQL Server Agent Service Account","svc-sqlagent","Seattle - Engineering","SVC002","Service account for SQL Server Agent job execution and scheduling","456 Innovation Drive","Seattle","WA","98102","","Service","SQL","SQL Agent","SQL Server","Production","CN=Christine Koch"
"IT","CN=SQL Reporting Services","True","SQL","sqlrs","CN=Christine Koch","SQL Reporting Services","user","","","svc-sqlrs","","Service","Service","SQL Reporting Services Account","svc-sqlrs","Seattle - Engineering","SVC003","Service account for SQL Server Reporting Services","456 Innovation Drive","Seattle","WA","98102","","Service","SQL","Reporting Services","SQL Server","Production","CN=Christine Koch"
"IT","CN=SQL Analysis Services","True","SQL","sqlas","CN=Christine Koch","SQL Analysis Services","user","","","svc-sqlas","","Service","Service","SQL Analysis Services Account","svc-sqlas","Seattle - Engineering","SVC004","Service account for SQL Server Analysis Services","456 Innovation Drive","Seattle","WA","98102","","Service","SQL","Analysis Services","SQL Server","Production","CN=Christine Koch"
"IT","CN=SQL Integration Services","True","SQL","sqlis","CN=Christine Koch","SQL Integration Services","user","","","svc-sqlis","","Service","Service","SQL Integration Services Account","svc-sqlis","Seattle - Engineering","SVC005","Service account for SQL Server Integration Services ETL operations","456 Innovation Drive","Seattle","WA","98102","","Service","SQL","Integration Services","SQL Server","Production","CN=Christine Koch"
"IT","CN=Backup Service Account","True","Backup","backup","CN=Arturo Lopez","Backup Service Account","user","","","svc-backup","","Service","Service","Enterprise Backup Service Account","svc-backup","Seattle - Engineering","SVC006","Service account for enterprise backup operations and data protection","456 Innovation Drive","Seattle","WA","98102","","Service","Backup","Data Protection","Veeam Backup","Production","CN=Arturo Lopez"
"IT","CN=Backup Agent Service","True","Backup","backupagent","CN=Arturo Lopez","Backup Agent Service","user","","","svc-backupagent","","Service","Service","Backup Agent Service Account","svc-backupagent","Seattle - Engineering","SVC007","Service account for backup agent processes on client machines","456 Innovation Drive","Seattle","WA","98102","","Service","Backup","Agent Operations","Veeam Agent","Production","CN=Arturo Lopez"
"IT","CN=Backup Repository Service","True","Backup","backuprepo","CN=Arturo Lopez","Backup Repository Service","user","","","svc-backuprepo","","Service","Service","Backup Repository Service Account","svc-backuprepo","Seattle - Engineering","SVC008","Service account for backup repository management and storage operations","456 Innovation Drive","Seattle","WA","98102","","Service","Backup","Repository Management","Backup Repository","Production","CN=Arturo Lopez"
"IT","CN=CRM Application Service","True","CRM","crmapp","CN=David Zazzo","CRM Application Service","user","","","svc-crmapp","","Service","Service","CRM Application Service Account","svc-crmapp","Seattle - Engineering","SVC009","Service account for Customer Relationship Management application","456 Innovation Drive","Seattle","WA","98102","","Service","Application","CRM Operations","Dynamics CRM","Production","CN=David Zazzo"
"IT","CN=ERP Application Service","True","ERP","erpapp","CN=David Zazzo","ERP Application Service","user","","","svc-erpapp","","Service","Service","ERP Application Service Account","svc-erpapp","Seattle - Engineering","SVC010","Service account for Enterprise Resource Planning application","456 Innovation Drive","Seattle","WA","98102","","Service","Application","ERP Operations","SAP ERP","Production","CN=David Zazzo"
"IT","CN=SharePoint Application Pool","True","SharePoint","spapp","CN=Carol Troup","SharePoint Application Pool","user","","","svc-spapp","","Service","Service","SharePoint Application Pool Account","svc-spapp","Seattle - Engineering","SVC011","Service account for SharePoint application pool operations","456 Innovation Drive","Seattle","WA","98102","","Service","Application","Application Pool","SharePoint","Production","CN=Carol Troup"
"IT","CN=SharePoint Search Service","True","SharePoint","spsearch","CN=Carol Troup","SharePoint Search Service","user","","","svc-spsearch","","Service","Service","SharePoint Search Service Account","svc-spsearch","Seattle - Engineering","SVC012","Service account for SharePoint search crawling and indexing","456 Innovation Drive","Seattle","WA","98102","","Service","Application","Search Operations","SharePoint","Production","CN=Carol Troup"
"IT","CN=Web Application Service","True","Web","webapp","CN=Kelly Weadock","Web Application Service","user","","","svc-webapp","","Service","Service","Web Application Service Account","svc-webapp","Seattle - Engineering","SVC013","Service account for corporate web applications and API services","456 Innovation Drive","Seattle","WA","98102","","Service","Application","Web Services","IIS Web Apps","Production","CN=Kelly Weadock"
"IT","CN=API Gateway Service","True","API","apigateway","CN=Kelly Weadock","API Gateway Service","user","","","svc-apigateway","","Service","Service","API Gateway Service Account","svc-apigateway","Seattle - Engineering","SVC014","Service account for API gateway and microservices orchestration","456 Innovation Drive","Seattle","WA","98102","","Service","Application","API Management","Kong Gateway","Production","CN=Kelly Weadock"
