"Key","Name","Description","Parent","UserFilter","Population","Tier","Purpose"
"all-staff","All Staff","Every seeded employee","","","","Core","Top of a three-deep chain, so membership has to resolve transitively rather than one level down"
"engineering","Engineering","Engineering department","all-staff","","","Core","Second level of the chain, and a department with a team beneath it"
"platform","Team Platform","Platform engineering team","engineering","","","Core","Third level; membership here must resolve all the way up to All Staff"
"sales","Sales","Sales department","all-staff","","","Core","A sibling department with no children, containing a disabled user and a locked one"
"finance","Finance","Finance department","all-staff","","","Core","The only group the payroll application is assigned to, with exactly one member"
"leadership","Leadership","Seeded leadership","","","","Core","Outside the staff chain, with a single member"
"contractors","Contractors","External contractors","","","","Core","Outside the staff chain. Its members are the contractors population, but the contractor attribute disagrees: some members are flagged false, and a partner flagged true is not in it"
"partners","Partners","Partner identities","","","partners","Core","Scoped to a population, so a user outside it cannot be added however hard a script tries"
"dyn-staff","Dynamic Staff","Everyone in the staff population","","population","staff","Core","Membership PingOne maintains from a filter, which cannot be edited by hand and is empty until it evaluates"
"dyn-nobody","Dynamic Nobody","A filter that matches nothing","","nobody","","Core","A filter that is valid and matches nobody, which looks identical to a broken filter in every report"
"empty-hold","Offboarding Hold","Deliberately empty","","","","Core","Deliberately empty, because an empty group and a failed query look identical"
