"Name","Type","GidNumber","Parent","Category","Description","Tier","Purpose"
"all-staff","posix","","","Organisation","Every internal employee","Core","The root of the nesting chain and the broadest HBAC target"
"dept-engineering","posix","","all-staff","Department","Engineering department","Core","Second level of the chain; a department with a team beneath it, and the target of an automember rule"
"team-platform","nonposix","","dept-engineering","Team","Platform engineering team","Core","Third level; a non-POSIX group nested in a POSIX one, so membership resolves transitively but no GID does"
"dept-sales","posix","","all-staff","Department","Sales department","Core","A sibling department with no children, whose password policy never expires a password"
"dept-finance","posix","","all-staff","Department","Finance department","Core","The only group the payroll HBAC rule admits"
"contractors","posix","","","Population","External contractors","Core","Deliberately outside the staff chain; filled by an automember rule, and the primary group of the user with no private group"
"site-zurich","posix","","","Site","Zürich office access","Core","Non-ASCII description that must survive the round trip; the name itself cannot carry it"
"empty-hold","posix","","","Utility","A group with no members","Core","A report has to handle zero members without special-casing; its automember rule can never match"
"lab-admins","posix","","","Role","Lab administrators","Core","Named like an admin group and holding a seeded role, but never a member of admins"
"svc-accounts","posix","","","Utility","Service accounts","Core","Every service account, and nothing human"
"ext-partners","external","","ext-partners-posix","Trust","Partner accounts from a trusted domain","Core","An external group: it can hold only trusted-domain SIDs, so it has no IPA members and no GID"
"ext-partners-posix","posix","","","Trust","POSIX wrapper for the partner group","Core","The POSIX group the external one nests in, which is how a trust grants a GID; it has a member group and no users"
"testdomainadmins","posix","","","Administrative","Test domain administrators with full control","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testenterpriseadmins","posix","","testdomainadmins","Administrative","Test enterprise administrators","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testschemaadmins","posix","","testenterpriseadmins","Administrative","Test schema administrators","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testbackupoperators","posix","","testserveroperators","Administrative","Test users who can backup and restore files","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testserveroperators","posix","","testdomainadmins","Administrative","Test users who can manage domain servers","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testaccountoperators","posix","","testdomainadmins","Administrative","Test users who can manage user accounts","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testprintoperators","posix","","testserveroperators;testaccountoperators","Administrative","Test users who can manage network printers","Bulk","Bulk directory volume, mapped from the AD provider (Administrative)"
"testremotedesktopusers","posix","","","Access Control","Users allowed to connect via Remote Desktop","Bulk","Bulk directory volume, mapped from the AD provider (Access Control)"
"vpnusers","posix","","","Access Control","Users with VPN access","Bulk","Bulk directory volume, mapped from the AD provider (Access Control)"
"wifiusers","posix","","","Access Control","Users with wireless network access","Bulk","Bulk directory volume, mapped from the AD provider (Access Control)"
"allemployees","posix","","","Organizational","All company employees","Bulk","Bulk directory volume, mapped from the AD provider (Organizational)"
"allcontractors","posix","","","Organizational","All contract workers","Bulk","Bulk directory volume, mapped from the AD provider (Organizational)"
"allinterns","posix","","","Organizational","All intern employees","Bulk","Bulk directory volume, mapped from the AD provider (Organizational)"
"executives","posix","","seniormanagement","Departmental","Executive team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"operations","posix","","allemployees","Departmental","Operations team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"engineering","posix","","allemployees","Departmental","Engineering team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"engineeringoperations","posix","","engineering","Departmental","Engineering Operations team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"sales","posix","","allemployees","Departmental","Sales team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"salesmanagement","posix","","managers;sales","Departmental","Sales management team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"marketing","posix","","allemployees","Departmental","Marketing team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"accounting","posix","","allemployees","Departmental","Accounting team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"finance","posix","","accounting","Departmental","Finance team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"humanresources","posix","","allemployees","Departmental","HR team members","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"projectmanagement","posix","","allemployees","Departmental","Project Management team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"strategyconsulting","posix","","","Departmental","Strategy Consulting team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"contentmanagement","posix","","","Departmental","Content Management team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"crmstrategy","posix","","","Departmental","CRM Strategy team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"seniormanagement","posix","","allemployees","Departmental","Senior management team","Bulk","Bulk directory volume, mapped from the AD provider (Departmental)"
"directors","posix","","managers","Management Level","All directors","Bulk","Bulk directory volume, mapped from the AD provider (Management Level)"
"managers","posix","","allemployees","Management Level","All managers","Bulk","Bulk directory volume, mapped from the AD provider (Management Level)"
"vpsandabove","posix","","managers","Management Level","Vice Presidents and above","Bulk","Bulk directory volume, mapped from the AD provider (Management Level)"
"clevel","posix","","vpsandabove","Management Level","C-Level executives","Bulk","Bulk directory volume, mapped from the AD provider (Management Level)"
"seattlemainoffice","posix","","","Geographic","Seattle main office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"seattleengineeringoffice","posix","","","Geographic","Seattle engineering office","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"seattlefinanceoffice","posix","","","Geographic","Seattle finance office","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"houstonoffice","posix","","","Geographic","Houston office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"newyorkoffice","posix","","","Geographic","New York office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"chicagooffice","posix","","","Geographic","Chicago office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"atlantaoffice","posix","","","Geographic","Atlanta office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"bostonoffice","posix","","","Geographic","Boston office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"losangelesoffice","posix","","","Geographic","LA office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"richmondoffice","posix","","","Geographic","Richmond office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"londonoffice","posix","","","Geographic","London office employees","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"remoteworkers","posix","","","Geographic","Remote field workers","Bulk","Bulk directory volume, mapped from the AD provider (Geographic)"
"fulltimeemployees","posix","","allemployees","Employment Type","All full-time employees","Bulk","Bulk directory volume, mapped from the AD provider (Employment Type)"
"contractworkers","posix","","allcontractors","Employment Type","All contract workers","Bulk","Bulk directory volume, mapped from the AD provider (Employment Type)"
"internemployees","posix","","allinterns","Employment Type","All intern employees","Bulk","Bulk directory volume, mapped from the AD provider (Employment Type)"
"mobiledeviceusers","nonposix","","","Device Access","Users with mobile devices","Bulk","Bulk directory volume, mapped from the AD provider (Device Access)"
"laptopusers","nonposix","","","Device Access","Users with laptop computers","Bulk","Bulk directory volume, mapped from the AD provider (Device Access)"
"workstationusers","nonposix","","fileshareusers","Device Access","Users with desktop workstations","Bulk","Bulk directory volume, mapped from the AD provider (Device Access)"
"executivecomputing","nonposix","","executivefileaccess;workstationusers","Device Access","Executive computing resources","Bulk","Bulk directory volume, mapped from the AD provider (Device Access)"
"engineeringcomputing","nonposix","","workstationusers","Device Access","Engineering computing resources","Bulk","Bulk directory volume, mapped from the AD provider (Device Access)"
"salescomputing","nonposix","","","Device Access","Sales computing resources","Bulk","Bulk directory volume, mapped from the AD provider (Device Access)"
"fileshareusers","nonposix","","","Resource Access","General file share access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"executivefileaccess","nonposix","","fileshareusers","Resource Access","Executive file share access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"financefileaccess","nonposix","","","Resource Access","Finance file share access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"hrfileaccess","nonposix","","","Resource Access","HR file share access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"engineeringfileaccess","nonposix","","fileshareusers","Resource Access","Engineering file share access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"projectfileaccess","nonposix","","","Resource Access","Project file share access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"emailusers","nonposix","","","Resource Access","Exchange email access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"calendarusers","nonposix","","","Resource Access","Exchange calendar access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"internetaccessbasic","nonposix","","","Resource Access","Basic internet access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"internetaccessfull","nonposix","","","Resource Access","Full internet access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"softwareinstallation","nonposix","","","Resource Access","Software installation rights","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"printeraccessmain","nonposix","","","Resource Access","Main office printer access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"printeraccessengineering","nonposix","","colorprinteraccess;engineeringfileaccess","Resource Access","Engineering printer access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"printeraccessfinance","nonposix","","","Resource Access","Finance printer access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"colorprinteraccess","nonposix","","fileshareusers","Resource Access","Color printer access","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"serverroomaccess","posix","","","Physical Access","Physical server room access","Bulk","Bulk directory volume, mapped from the AD provider (Physical Access)"
"executiveflooraccess","posix","","","Physical Access","Executive floor physical access","Bulk","Bulk directory volume, mapped from the AD provider (Physical Access)"
"afterhoursaccess","posix","","","Physical Access","Building access after hours","Bulk","Bulk directory volume, mapped from the AD provider (Physical Access)"
"conferenceroombooking","nonposix","","","Resource Access","Conference room booking rights","Bulk","Bulk directory volume, mapped from the AD provider (Resource Access)"
"expensesystemaccess","nonposix","","","Application Access","Expense reporting system","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"payrollsystemaccess","nonposix","","hrapplications","Application Access","Payroll system access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"crmsystemaccess","nonposix","","","Application Access","CRM system access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"projectmanagementtools","nonposix","","","Application Access","Project management software","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"developmenttools","nonposix","","engineeringcomputing","Application Access","Software development tools","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"designtools","nonposix","","","Application Access","Design and creative software","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"financialapplications","nonposix","","financefileaccess","Application Access","Financial software access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"hrapplications","nonposix","","","Application Access","HR software access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"businessintelligence","nonposix","","","Application Access","BI and reporting tools","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"databaseaccessread","nonposix","","","Application Access","Database read access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"databaseaccesswrite","nonposix","","databaseaccessread","Application Access","Database write access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
"backupsystemaccess","nonposix","","","Application Access","Backup and recovery access","Bulk","Bulk directory volume, mapped from the AD provider (Application Access)"
