"Target","Subject","Order","Enabled","Negate","Purpose"
"app:expenses","group:All-Staff","5","TRUE","FALSE","Every internal employee reaches expenses by a group binding rather than by an expression"
"app:wiki","group:Dept-Engineering","0","TRUE","FALSE","The engineering department reaches the wiki by group"
"app:wiki","group:Contractors","10","TRUE","FALSE","Contractors are admitted to the wiki by group and refused payroll by policy; the two mechanisms disagree on purpose"
"app:intranet","user:awhitfield","0","TRUE","FALSE","A single person bound directly to an application, which a group-only access report misses"
"entitlement:expenses/Submitter","group:All-Staff","0","TRUE","FALSE","An entitlement granted to the whole staff population"
"entitlement:expenses/Approver","group:Dept-Finance","0","TRUE","FALSE","An entitlement granted to one department"
"entitlement:payroll/Administrator","user:praghunathan","0","TRUE","FALSE","An entitlement granted to one person directly"
"entitlement:wiki/Editor","group:Team-Platform","0","TRUE","FALSE","An entitlement granted to a team three levels down the chain"
"entitlement:wiki/Editor","user:talvarez","10","TRUE","FALSE","A disabled account still holding an entitlement, the half-finished offboarding"
"entitlement:hidden-utility/Operator","group:Lab-Admins","0","TRUE","FALSE","An entitlement on a hidden application, visible to an audit and absent from the library"
"rule:Alert Relay","policy:Login Failures","0","TRUE","FALSE","The event-matcher policy that makes the alert rule fire on a failed sign-in"
